BlogId,Author,No_of_comments
89227,1-gon,264
91835,I_Love_YrNameCouldBeHere,394
86323,I_Love_YrNameCouldBeHere,65
84184,I_Love_YrNameCouldBeHere,44
82707,I_Love_YrNameCouldBeHere,44
91381,ssense,230
84963,ssense,52
82772,ssense,24
96344,nor,36
93801,nor,5
95879,SecondThread,40
92720,SecondThread,8
86331,SecondThread,10
85057,SecondThread,49
84989,SecondThread,12
84042,SecondThread,3
84017,SecondThread,59
82373,SecondThread,10
81527,SecondThread,251
81240,SecondThread,4
81190,SecondThread,8
79938,SecondThread,54
79928,SecondThread,13
79902,SecondThread,42
79862,SecondThread,5
79669,SecondThread,17
79536,SecondThread,38
79526,SecondThread,2
79344,SecondThread,2
79284,SecondThread,39
79058,SecondThread,3
78830,SecondThread,4
78596,SecondThread,2
78024,SecondThread,2
77574,SecondThread,42
76550,SecondThread,26
74895,SecondThread,2
71706,SecondThread,8
72003,TheDramaQueen,109
67237,TheDramaQueen,15
66326,TheDramaQueen,1
60110,TheDramaQueen,4
94704,arujbansal,7
93846,arujbansal,2
92977,arujbansal,6
92304,arujbansal,7
89880,arujbansal,4
89694,arujbansal,0
88494,arujbansal,4
88392,arujbansal,0
87427,arujbansal,0
85907,arujbansal,0
84095,arujbansal,3
78762,arujbansal,10
78029,arujbansal,27
92126,Qualified,5
89544,Qualified,7
88867,Qualified,1
87881,Qualified,10
87771,Qualified,2
87207,Qualified,1
86796,Qualified,60
86476,Qualified,34
86371,Qualified,1
86231,Qualified,10
85721,Qualified,1
85184,Qualified,6
85075,Qualified,3
85016,Qualified,1
84961,Qualified,10
84853,Qualified,8
84696,Qualified,2
84606,Qualified,15
84523,Qualified,9
84036,Qualified,5
83762,Qualified,1
83749,Qualified,14
83575,Qualified,15
83486,Qualified,3
83427,Qualified,2
83336,Qualified,4
83279,Qualified,3
82929,Qualified,1
81813,Qualified,7
81772,Qualified,3
81579,Qualified,5
81390,Qualified,0
81089,Qualified,6
81054,Qualified,2
80690,Qualified,2
80609,Qualified,41
80605,Qualified,10
80446,Qualified,1
80428,Qualified,0
80345,Qualified,6
80292,Qualified,3
80156,Qualified,7
80110,Qualified,10
80095,Qualified,2
80036,Qualified,1
79921,Qualified,13
79863,Qualified,4
79856,Qualified,1
79538,Qualified,13
79450,Qualified,6
79413,Qualified,6
79198,Qualified,0
79124,Qualified,4
79026,Qualified,20
79022,Qualified,5
78989,Qualified,2
78825,Qualified,10
78594,Qualified,0
78572,Qualified,1
78558,Qualified,96
78434,Qualified,2
78425,Qualified,54
78331,Qualified,2
78322,Qualified,4
78129,Qualified,2
77996,Qualified,4
77974,Qualified,1
77803,Qualified,6
77799,Qualified,19
77785,Qualified,1
77725,Qualified,5
77719,Qualified,15
77513,Qualified,2
77389,Qualified,9
77299,Qualified,0
92324,codepasta,7
91229,codepasta,0
89066,codepasta,4
84986,codepasta,5
84376,codepasta,7
84047,codepasta,5
83826,codepasta,4
83198,codepasta,7
83003,codepasta,3
82958,codepasta,7
82881,codepasta,5
82863,codepasta,5
87602,Eurus7,14
88972,kira201,7
