Hacker,defender,Verdict
vai53,Tanzim_Ahad,HACK_UNSUCCESSFUL
Zeroooiq,vai53,HACK_UNSUCCESSFUL
vai53,CSerister,INVALID_INPUT
tamthegod,vai53,HACK_SUCCESSFUL
vai53,fork52,HACK_UNSUCCESSFUL
TimurZykov,vai53,HACK_SUCCESSFUL
_Dormammu_,vai53,HACK_UNSUCCESSFUL
_Dormammu_,vai53,HACK_SUCCESSFUL
Devendra2104,vai53,IGNORED
kfhe11,vai53,HACK_SUCCESSFUL
__TLE__,vai53,INVALID_INPUT
__TLE__,vai53,INVALID_INPUT
Azaan,vai53,HACK_UNSUCCESSFUL
__TLE__,vai53,INVALID_INPUT
__TLE__,vai53,INVALID_INPUT
__TLE__,vai53,HACK_SUCCESSFUL
